#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xrandr,"allows the user to customize monitor arrangements."
,xorg-xbacklight,"enables changing screen brightness levels."
,xwallpaper,"sets the wallpaper."
,xdotool,"provides window action utilities on the command line."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,openbox,"floating window manager"
,obconf,"openbox config manager"
A,obmenu-generator,"menu generator for the Openbox Window Manager"
,tint2,"task manager"
,sxhkd,"Simple X HotKey Daemon"
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,pipewire,"is the audio system."
,pipewire-alsa,"gives pipewire compatibility with Alsa programs."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,wireplumber,"pipewire session manager"
,pavucontrol,"PulseAudio Volume Control"
,volumeicon,"Volume control for the system tray"
,exfat-utils,"allows management of FAT drives."
,gnome-keyring,"serves as the system keyring."
,kitty,"opengl-based terminal"
,neovim,"a tidier vim with some useful features"
,ffmpeg,"can record and splice video and audio on the command line."
,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,mpv,"video player."
,rofi,"dmenu replacement"
,maim,"can take quick screenshots at your request."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,fzf,"is a fuzzy finder tool."
,bat,"can highlight code output and display files."
A,htop-vim-git,"is a graphical and colorful system monitor."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,gnome-font-viewer,"view fonts in a gui"
,feh,"image viewer"
,sxiv,"is a minimalist image viewer."
,evince,"Document viewer"
,python-pywal,"colorscheme manager"
,wget,"retrieve files from the web"
,trash-cli,"trashcan"
,deepin-community-wallpapers,"Community wallpapers for DDE"
,lxappearance-gtk3,"GTK+ theme switcher of the LXDE Desktop"
A,themix-full-git,"modify gtk themes"
,noto-fonts-emoji,"is an emoji font."
